date,close,arithmetic price change,log price log price,standerd diviation * sqrt(250),Volatility
2017-03-01,856.75,0.0081190798,0.0080862974,-,-
2017-03-02,849.85,0.0009068639,0.0009064529,-,-
2017-03-03,849.08,0.002136273,0.0021339944,-,-
2017-03-06,847.27,-0.0045585384,-0.0045689603,-,-
2017-03-07,851.15,-0.0029169205,-0.002921183,-,-
2017-03-08,853.64,-0.0048960179,-0.0049080427,-,-
2017-03-09,857.84,-0.0041385875,-0.0041471752,-,-
2017-03-10,861.405,-0.0036723033,-0.0036790628,-,-
2017-03-13,864.58,-0.0015359564,-0.0015371372,-,-
2017-03-14,865.91,-0.0028558597,-0.0028599454,-,-
2017-03-15,868.39,-0.0018505747,-0.0018522891,-,-
2017-03-16,870,-0.0027167372,-0.0027204342,-,-
2017-03-17,872.37,0.0051387817,0.0051256232,-,-
2017-03-20,867.91,0.0209024396,0.0206869808,-,-
2017-03-21,850.14,0.0004000941,0.0004000141,-,-
2017-03-22,849.8,0.0120883702,0.0120158893,-,-
2017-03-23,839.65,0.0054002922,0.0053857629,-,-
2017-03-24,835.14,-0.0040190338,-0.0040271318,-,-
2017-03-27,838.51,-0.0025219181,-0.0025251035,-,-
2017-03-28,840.63,-0.0108722511,-0.0109317859,-,-
2017-03-29,849.87,0.0004591044,0.000458999,-,-
2017-03-30,849.48,0.0019815994,0.0019796387,-,-
2017-03-31,847.8,-0.0104464546,-0.0105014018,-,-
2017-04-03,856.75,0.0049028232,0.0048908435,-,-
2017-04-04,852.57,0.0043114111,0.0043021436,-,-
2017-04-05,848.91,0.0045142854,0.0045041266,-,-
2017-04-06,845.095,0.0035565847,0.003550275,-,-
2017-04-07,842.1,0.0004752287,0.0004751158,-,-
2017-04-10,841.7,0.0021669762,0.0021646317,-,-
2017-04-11,839.88,-0.0018776888,-0.0018794538,-,-
2017-04-12,841.46,0.0015234831,0.0015223237,-,-
2017-04-13,840.18,-0.0174827219,-0.0176373496,-,-
2017-04-17,855.13,0.0013349102,0.00133402,-,-
2017-04-18,853.99,-0.0029421723,-0.002946509,-,-
2017-04-19,856.51,-0.0041507767,-0.0041594151,-,-
2017-04-20,860.08,0.0013155597,0.0013146951,-,-
2017-04-21,858.95,-0.0227321857,-0.0229945455,-,-
2017-04-24,878.93,-0.0111493632,-0.0112119832,-,-
2017-04-25,888.84,-0.0003374047,-0.0003374616,-,-
2017-04-26,889.14,-0.0025800951,-0.0025834293,-,-
2017-04-27,891.44,-0.0357807295,-0.0364365512,-,-
2017-04-28,924.52,-0.0088977509,-0.0089375723,-,-
2017-05-01,932.82,-0.0045566594,-0.0045670727,-,-
2017-05-02,937.09,-0.0119774369,-0.0120497443,-,-
2017-05-03,948.45,-0.0065673705,-0.0065890306,-,-
2017-05-04,954.72,0.0046723071,0.0046614258,-,-
2017-05-05,950.28,-0.0087723873,-0.0088110912,-,-
2017-05-08,958.69,0.0020695927,0.002067454,-,-
2017-05-09,956.71,0.0019584433,0.001956528,-,-
2017-05-10,954.84,-0.0010984528,-0.0010990565,-,-
2017-05-11,955.89,0.0007852252,0.0007849171,-,-
2017-05-12,955.14,-0.0042534559,-0.0042625276,-,-
2017-05-15,959.22,-0.0055877505,-0.0056034204,-,-
2017-05-16,964.61,0.0238173578,0.0235381492,-,-
2017-05-17,942.17,-0.0087638085,-0.0088024365,-,-
2017-05-18,950.5,-0.0043471429,-0.0043566192,-,-
2017-05-19,954.65,-0.0097710747,-0.0098191249,-,-
2017-05-22,964.07,-0.0066766267,-0.006699015,-,-
2017-05-23,970.55,-0.0072216937,-0.0072478964,-,-
2017-05-24,977.61,-0.0143669469,-0.0144711508,-,-
2017-05-25,991.86,-0.0014195536,-0.0014205621,-,-
2017-05-26,993.27,-0.0029111497,-0.0029153953,-,-
2017-05-30,996.17,0.0091987559,0.0091567051,-,-
2017-05-31,987.09,-0.0012142185,-0.0012149563,-,-
2017-06-01,988.29,-0.0078604987,-0.0078915553,-,-
2017-06-02,996.12,-0.0077300076,-0.0077600389,-,-
2017-06-05,1003.88,0.0072239836,0.0071980156,-,-
2017-06-06,996.68,-0.0049022055,-0.0049142607,-,-
2017-06-07,1001.59,-0.0026785359,-0.0026821296,-,-
2017-06-08,1004.28,0.0352121387,0.0346063706,-,-
2017-06-09,970.12,0.0086399601,0.0086028492,-,-
2017-06-12,961.81,-0.0089541473,-0.0089944766,-,-
2017-06-13,970.5,0.0026551507,0.002651632,-,-
2017-06-14,967.93,0.0080714033,0.0080390037,-,-
2017-06-15,960.18,0.0016273393,0.0016260166,-,-
2017-06-16,958.62,-0.0170218002,-0.0171683363,-,-
2017-06-19,975.22,0.0064293749,0.0064087947,-,-
2017-06-20,968.99,-0.0098100328,-0.0098584682,-,-
2017-06-21,978.59,0.0020171612,0.0020151295,-,-
2017-06-22,976.62,-0.0096035859,-0.0096499977,-,-
2017-06-23,986.09,0.0144019587,0.0142992356,-,-
2017-06-26,972.09,0.0253140525,0.0249989583,-,-
2017-06-27,948.09,-0.0134441889,-0.0135353803,-,-
2017-06-28,961.01,0.0247275597,0.0244267818,-,-
2017-06-29,937.82,0.0087557009,0.008717592,-,-
2017-06-30,929.68,0.0111152198,0.0110538997,-,-
2017-07-03,919.46,-0.0137300753,-0.0138252045,-,-
2017-07-05,932.26,0.0049262146,0.0049141205,-,-
2017-07-06,927.69,-0.01394543,-0.0140435811,-,-
2017-07-07,940.81,-0.0107150368,-0.0107728562,-,-
2017-07-10,951,-0.0026532988,-0.002656825,-,-
2017-07-11,953.53,-0.0146022363,-0.0147098983,-,-
2017-07-12,967.66,-0.0012282603,-0.0012290152,-,-
2017-07-13,968.85,-0.0082505041,-0.0082847279,-,-
2017-07-14,976.91,0.0009734005,0.0009729271,-,-
2017-07-17,975.96,-0.0111353159,-0.0111977776,-,-
2017-07-18,986.95,-0.005862385,-0.0058796363,-,-
2017-07-19,992.77,0.0005845655,0.0005843947,-,-
2017-07-20,992.19,-0.001660227,-0.0016616067,-,-
2017-07-21,993.84,-0.0044775671,-0.0044876214,-,-
2017-07-24,998.31,0.0302157828,0.0297682782,-,-
2017-07-25,969.03,0.0038536843,0.0038462779,-,-
2017-07-26,965.31,0.0134381791,0.0133486876,-,-
2017-07-27,952.51,-0.0060730646,-0.0060915807,-,-
2017-07-28,958.33,0.0135695399,0.0134782982,-,-
2017-07-31,945.5,-0.0011198445,-0.001120472,-,-
2017-08-01,946.56,-0.0011396733,-0.0011403232,-,-
2017-08-02,947.64,0.0078060194,0.00777571,-,-
2017-08-03,940.3,-0.0058046712,-0.0058215838,-,-
2017-08-04,945.79,4.22944752841275E-05,4.22935808979312E-05,-,-
2017-08-07,945.75,0.0016522098,0.0016508464,-,-
2017-08-08,944.19,0.0043719683,0.0043624391,-,-
2017-08-09,940.08,0.0178542427,0.0176967278,-,-
2017-08-10,923.59,-0.006988571,-0.0070131054,-,-
2017-08-11,930.09,-0.0094149724,-0.0094595734,-,-
2017-08-14,938.93,0.0009061061,0.0009056958,-,-
2017-08-15,938.08,-0.0065553285,-0.006576909,-,-
2017-08-16,944.27,0.017905267,0.0177468559,-,-
2017-08-17,927.66,0.0015979615,0.0015966861,-,-
2017-08-18,926.18,0.0057662862,0.0057497248,-,-
2017-08-21,920.87,-0.0207677584,-0.0209864413,-,-
2017-08-22,940.4,-0.002312801,-0.0023154797,-,-
2017-08-23,942.58,0.006073285,0.006054917,-,-
2017-08-24,936.89,0.0068672757,0.0068438033,-,-
2017-08-25,930.5,0.0025535216,0.0025502669,-,-
2017-08-28,928.13,-0.0081432006,-0.0081765376,-,-
2017-08-29,935.75,-0.0083507307,-0.0083857934,-,-
2017-08-30,943.63,-0.0121540137,-0.0122284776,-,-
2017-08-31,955.24,0.0034139014,0.0034080873,-,-
2017-09-01,951.99,0.0111632748,0.0111014254,-,-
2017-09-05,941.48,-0.0005732362,-0.0005734006,-,-
2017-09-06,942.02,-0.0082851699,-0.0083196826,-,-
2017-09-07,949.89,0.0090077649,0.008967437,-,-
2017-09-08,941.41,-0.0019930244,-0.0019950131,-,-
2017-09-11,943.29,-0.0035493583,-0.0035556722,-,-
2017-09-12,946.65,-0.0039876268,-0.0039955986,-,-
2017-09-13,950.44,0.0109665685,0.0109068717,-,-
2017-09-14,940.13,0.0051748655,0.0051615219,-,-
2017-09-15,935.29,0.005958591,0.0059409088,-,-
2017-09-18,929.75,-0.0075891809,-0.0076181252,-,-
2017-09-19,936.86,-0.011271292,-0.0113352944,-,-
2017-09-20,947.54,-1.05535327950936E-05,-1.05535884840291E-05,-,-
